,装移机情况,全省,南京,无锡,镇江,苏州,南通,扬州,盐城,徐州,淮安,连云港,常州,泰州,宿迁,月份,年份
266,FTTH昨日竣工数合计,5985,1333,932,235,943,223,348,221,502,108,170,630,186,154,2,2012
267,FTTH昨日竣工数合计,5995,1094,1235,207,1049,210,379,238,563,112,158,406,195,149,2,2012
268,FTTH昨日竣工数合计,6127,1079,1277,260,1083,286,415,202,569,108,114,410,163,161,2,2012
269,FTTH昨日竣工数合计,6319,1171,1319,339,1113,269,398,232,449,125,112,465,192,135,2,2012
270,FTTH昨日竣工数合计,6656,1563,1298,328,1099,287,450,200,439,115,128,400,176,173,2,2012
271,FTTH昨日竣工数合计,6696,1829,1182,241,1003,290,423,175,518,126,152,377,232,148,2,2012
272,FTTH昨日竣工数合计,6758,1509,1330,261,1188,270,459,185,462,194,160,412,159,169,2,2012
273,FTTH昨日竣工数合计,7362,1431,1447,284,1188,279,548,328,560,148,193,562,217,177,2,2012
276,FTTH昨日竣工数合计,6961,1506,1147,338,1216,306,436,212,560,153,190,550,186,161,3,2012
277,FTTH昨日竣工数合计,7197,1601,1363,350,1154,378,494,247,531,166,143,442,151,177,3,2012
278,FTTH昨日竣工数合计,5877,1446,956,245,979,300,407,169,531,146,105,353,124,116,3,2012
279,FTTH昨日竣工数合计,6705,1404,1161,277,1031,245,499,290,520,149,154,639,175,161,3,2012
280,FTTH昨日竣工数合计,6719,1303,1189,277,1358,290,443,234,449,182,167,487,149,191,3,2012
281,FTTH昨日竣工数合计,6749,1301,1061,345,1257,247,466,270,545,178,191,466,242,180,3,2012
282,FTTH昨日竣工数合计,6729,1378,1086,309,1222,287,486,265,535,179,160,473,202,147,3,2012
283,FTTH昨日竣工数合计,6934,1609,1048,324,1180,301,545,238,428,164,214,510,232,141,3,2012
284,FTTH昨日竣工数合计,6547,1514,932,284,1176,359,473,207,490,169,195,410,194,144,3,2012
285,FTTH昨日竣工数合计,6257,1529,888,230,1087,376,491,182,395,138,232,410,179,120,3,2012
286,FTTH昨日竣工数合计,6334,1324,1023,201,1161,312,446,227,378,177,200,563,178,144,3,2012
287,FTTH昨日竣工数合计,6968,1421,979,321,1213,387,509,265,539,188,261,522,188,175,3,2012
